Year|Month|Day|Product Format|Total Net Sales|PO-Total
2020|January|31|95181757|1065.54|0
2020|January|1|95182963|326.14|0
2020|January|2|95210619|44515.77|0
2020|January|3|95218373|1139.14|0
2020|January|4|95227395|27160.31|0
2020|January|5|95229299|18.47|0
2020|January|6|95229725|3747.28|0
2020|January|7|95235044|2663.54|0
2020|January|8|95237809|1841.16|0
2020|January|9|95238016|1826.7|0
2020|January|10|95238091|819|0
2020|January|11|95238490|38.53|0
2020|January|12|95238491|232.2|0
2020|January|13|95242734|1214.25|0
2020|January|14|95244757|151.75|0
2020|January|15|95259711|1290.46|0
2020|January|16|95259715|341.91|0
2020|January|17|95261605|297805.86|0
2020|January|18|95273476|483.1|0
2020|January|19|95275365|584.98|0
2020|January|20|95280505|1832.71|0
2020|January|21|95282534|1352.16|0
2020|January|22|95286873|62074.06|0
2020|January|23|95296509|1629.55|0
2020|January|24|95298551|35731.6|0
2020|January|25|95298593|95149.05|0
2020|January|26|95315620|2214859.72|0
2020|January|27|95315621|2574628.42|0
2020|January|28|95315638|1184871.92|0
2020|January|29|95315639|1555520.97|0
2020|January|30|95316047|14014.52|0
2020|January|31|95316518|692.53|0
2020|January|1|95319189|91.3|0
2020|January|2|95326317|1413.63|0
2020|January|3|95327394|3411.06|0
2020|January|4|95327400|3900.9|0
2020|January|5|95327449|8159.26|0
2020|January|6|95327800|5696.81|0
2020|January|7|95330559|940.58|0
2020|January|8|95330568|1147.13|0
2020|January|9|95330587|36803.45|0
2020|January|10|95332725|4179.94|0
2020|January|11|95333850|2471.84|0
2020|January|12|95351022|2247.09|0
2020|January|13|95353128|784.18|0
2020|January|14|95353132|2150.85|0
2020|January|15|95369117|1050.51|0
2020|January|16|95369296|3108.98|0
2020|January|17|95371214|29052.39|0
2020|January|18|95374114|1708.97|0
2020|January|19|95374599|2093.13|0
2020|January|20|95374834|111.34|0
2020|January|21|95378591|639.11|0
2020|January|22|95387416|934.94|0
2020|January|23|95389034|1687196.16|0
2020|January|24|95389476|212.08|0
2020|January|25|95391140|473.23|0
2020|January|26|95391327|159.9|0
2020|January|27|95392943|4792.34|0
2020|January|28|95395615|2228.94|0
2020|January|29|95395616|2007.45|0
2020|January|30|95395619|205.54|0
2020|January|31|95415756|2745.78|0
2020|January|1|95416888|4185.51|0
2020|January|2|95430135|6434.9|0
2020|January|3|95430136|6702.87|0
2020|January|4|95437535|9006.32|0
2020|January|5|95437548|10304.54|0
2020|January|6|95441456|476.53|0
2020|January|7|95443281|1494.56|0
2020|January|8|95463804|969.95|0
2020|January|9|95465739|596.51|0
2020|January|10|95470358|2615.91|0
2020|January|11|95470952|116.85|0
2020|January|12|95473425|57657.22|0
2020|January|13|95473904|1097.43|0
2020|January|14|95476239|1845.92|0
2020|January|15|95479569|1230.82|0
2020|January|16|95483974|1048.44|0
2020|January|17|95490304|285.39|0
2020|January|18|95491330|852.25|0
2020|January|19|95492102|34323.03|0
2020|January|20|95492642|352.21|0
2020|January|21|95911076|1735.45|0
2020|January|22|95912990|7954.94|0
2020|January|23|95915137|1949.92|0
2020|January|24|95917114|6602.48|0
2020|January|25|95932779|1796.37|0
2020|January|26|95932791|6418.22|0
2020|January|27|95939838|817.58|0
2020|January|28|95940507|5780.73|0
2020|January|29|95940510|18657.9|0
2020|January|30|95942519|220.78|0
2020|January|31|95942520|660.72|0
2020|January|1|95942897|4203.8|0
2020|January|2|95983118|39.05|0
2020|January|3|95987387|221.25|0
2020|January|4|96253544|4820.5|0
2020|January|5|96407281|635.56|0
2020|January|6|96468253|77.68|0
2020|January|7|96468267|14.4|0
2020|January|8|96536640|98.2|0
2020|January|9|96624219|588.37|0
2020|January|10|96660221|595.52|0
2020|January|11|96660222|1192.36|0
2020|January|12|96660964|156.03|0
2020|January|13|96661547|24537.56|0
2020|January|14|96673289|813.32|0
2020|January|15|96673600|1062.71|0
2020|January|16|96673793|13466.08|0
2020|January|17|96694770|269.13|0
2020|January|18|96804064|172.78|0
2020|January|19|96805220|206.37|0
2020|January|20|96814915|1877.58|0
2020|January|21|96818911|67.41|0
2020|January|22|96830934|3773.7|0
2020|January|23|96830990|27696.94|0
2020|January|24|96841637|660.08|0
2020|January|25|96848178|626.93|0
2020|January|26|96878541|206.46|0
2020|January|27|96901555|367.25|0
2020|January|28|96901556|583.55|0
2020|January|29|96901951|767.56|0
2020|January|30|96936800|977.85|0
2020|January|31|96954325|158.31|0
2020|January|1|96968396|196.07|0
2021|January|2|3038094|499.19|0
2021|January|3|8654382|100.55|0
2021|January|4|9599472|64455.65|0
2021|January|5|11562183|252.42|0
2021|January|6|11589280|390.93|0
2021|January|7|11611488|314.41|0
2021|January|8|11612034|8362.05|0
2021|January|9|11900244|98.64|0
2021|January|10|12380318|20110.48|0
2021|January|11|12606671|718.95|0
2021|January|12|12609261|926.41|0
2021|January|13|12611130|1481.85|0
2021|January|14|12633917|168.55|0
2021|January|15|12636524|18436.65|0
2021|January|16|12637192|369.21|0
2021|January|17|12639692|644.54|0
2021|January|18|12640448|1939.92|0
2021|January|19|12645181|87.17|0
2021|January|20|12646457|3874.19|0
2021|January|21|12653318|25258.06|0
2021|January|22|12673301|583.87|0
2021|January|23|12679099|65548.39|0
2021|January|24|12682079|2574.56|0
2021|January|25|13104978|1141.7|0
2021|January|26|13363695|43.79|0
2021|January|27|13486139|3670.03|0
2021|January|28|13513407|7156.7|0
2021|January|29|13529651|118533.28|0
2021|January|30|13576846|4390.03|0
2021|January|31|13577963|120.73|0
2021|January|1|13579213|5853.23|0
2021|January|2|13591799|11996.98|0
2021|January|3|13595628|9688.31|0
2021|January|4|13597428|418.08|0
2021|January|5|15075118|14113.71|0
2021|January|6|15779960|3770.16|0
2021|January|7|15926330|21774.19|0
2021|January|8|15936931|251.01|0
2021|January|9|19167140|1357.26|0
2021|January|10|19179654|45129.44|0
2021|January|11|19209451|1248.7|0
2021|January|12|19209452|1033.04|0
2021|January|13|19257222|95.56|0
2021|January|14|19257223|177.42|0
2021|January|15|19257391|672.98|0
2021|January|16|19257432|13762.09|0
2021|January|17|19258424|567.54|0
2021|January|18|19299512|755.73|0
2021|January|19|20787843|72.18|0
2021|January|20|20856305|956.85|0
2021|January|21|20868778|2913.71|0
2021|January|22|20919972|27826.21|0
2021|January|23|20939309|1180.9|0
2021|January|24|20983829|454.51|0
2021|January|25|22692679|1379.03|0
2021|January|26|22753237|1484.88|0
2021|January|27|22771837|627.42|0
2021|January|28|22788860|9857.26|0
2021|January|29|22789359|3873.19|0
2021|January|30|22799541|8949.19|0
2021|January|31|22830097|5279.03|0
2021|January|1|22840301|1600.95|0
2021|January|2|22842245|12075.4|0
2021|January|3|22857406|405.03|0
2021|January|4|22857407|1489.11|0
2021|January|5|22886691|41.18|0
2021|January|6|22902540|493.35|0
2021|January|7|22976569|274.25|0
2021|January|8|23158042|10544.16|0
2021|January|9|23217281|9766.13|0
2021|January|10|23227744|782.5|0
2021|January|11|23233249|1466996.94|0
2021|January|12|23279156|8827.82|0
2021|January|13|23524604|9772.58|0
2021|January|14|23533019|4812.7|0
2021|January|15|24237378|260.1|0
2021|January|16|24262090|42.54|0
2021|January|17|24263196|2346.24|0
2021|January|18|24275868|9748.39|0
2021|January|19|24298906|152441.92|0
2021|January|20|24589757|141685.13|0
2021|January|21|25184562|148.19|0
2021|January|22|25194223|288.31|0
2021|January|23|25195582|27862.9|0
2021|January|24|25197218|44244.35|0
2021|January|25|25198656|1518.15|0
2021|January|26|25202588|20496.45|0
2021|January|27|25865103|32214.52|0
2021|January|28|25874317|448.19|0
2021|January|29|25928748|1766.13|0
2021|January|30|25980499|2022.98|0
2021|January|31|26309707|56400.6|0
2021|January|1|26313471|2268.55|0
2021|January|2|26315189|3164.29|0
2021|January|3|39001027|728.83|0
2021|January|4|39085709|333|0
2021|January|5|42341511|17805.76|0
2021|January|6|42346440|2719.35|0
2021|January|7|42347844|909.27|0
2021|January|8|42357373|1959.06|0
2021|January|9|42373348|2917.09|0
2021|January|10|42392762|45.56|0
2021|January|11|42405774|3738.5|0
2021|January|12|42406141|613.02|0
2021|January|13|42421796|24132.98|0
2021|January|14|42450178|5206.85|0
